pilot,z_A,lvhar_potential_eV,mean_electron_density_e_per_A3
A0,24.176040717592596,5.133782932083323,1.050764446361912e-06
A0,24.24414224074074,5.122645601398216,7.920530747862167e-07
A0,24.31224376388889,5.11150954844968,5.768253176749575e-07
A0,24.380345287037038,5.100372981561956,3.947736351177875e-07
A0,24.44844681018519,5.08923435479375,2.40049165659282e-07
A0,24.516548333333336,5.078099166184599,1.0989753090724287e-07
A0,24.58464985648148,5.066958716679688,2.564473114769028e-09
A0,24.65275137962963,5.055825009140719,-8.427085653105388e-08
A0,24.72085290277778,5.0446830646684315,-1.5396965864484957e-07
A0,24.788954425925926,5.033551036103028,-2.105149655202879e-07
A0,24.857055949074077,5.022407980668876,-2.5764045823295576e-07
A0,24.92515747222222,5.011277717175735,-2.9794378047570443e-07
A0,24.993258995370372,5.000133822284503,-3.3249957378468527e-07
A0,25.06136051851852,4.98900534704745,-3.613021022654085e-07
A0,25.129462041666667,4.977860792735269,-3.8420815246604694e-07
A0,25.197563564814818,4.9667341238684,-4.01595881448975e-07
A0,25.26566508796296,4.955589099149266,-4.143478284223162e-07
A0,25.333766611111113,4.944464191699745,-4.2348999536845353e-07
A0,25.40186813425926,4.93331880492417,-4.2993306316093915e-07
A0,25.469969657407407,4.922195610833865,-4.343412974754137e-07
A0,25.53807118055556,4.911049948883545,-4.3700667729584345e-07
A0,25.606172703703706,4.899928430290688,-4.3785109390388317e-07
A0,25.674274226851853,4.888782608010203,-4.366902046174879e-07
A0,25.74237575,4.877662730751722,-4.335446105725837e-07
A0,25.810477273148148,4.866516807400479,-4.2868680042699243e-07
A0,25.8785787962963,4.855398469592923,-4.224659951624472e-07
A0,25.946680319444447,4.844252445703476,-4.151789500077657e-07
A0,26.01478184259259,4.833135550221173,-4.070422738171781e-07
A0,26.08288336574074,4.821989456118527,-3.9813896921727116e-07
A0,26.15098488888889,4.810873955003634,-3.883837099514142e-07
A0,26.21908641203704,4.799727844909917,-3.7766458968773e-07
A0,26.287187935185187,4.788613661437148,-3.6605632729228974e-07
A0,26.35528945833333,4.777467525258291,-3.538104221104169e-07
A0,26.423390981481482,4.766354562864733,-3.411233997453513e-07
A0,26.49149250462963,4.755208395843273,-3.280168537029649e-07
A0,26.55959402777778,4.7440965512624675,-3.1446372012644076e-07
A0,26.627695550925928,4.732950328946875,-3.005039507020146e-07
A0,26.695797074074076,4.721839523678633,-2.8618016196336523e-07
A0,26.763898597222223,4.710693271151401,-2.7149194651768533e-07
A0,26.83200012037037,4.699583431971428,-2.565136466246441e-07
A0,26.90010164351852,4.688437126999649,-2.414462451643458e-07
A0,26.96820316666667,4.677328174294005,-2.2642571770534638e-07
A0,27.036304689814816,4.666181806142729,-2.113650876860747e-07
A0,27.104406212962967,4.655073658217985,-1.9612355718676875e-07
A0,27.17250773611111,4.643927206761353,-1.807551430725476e-07
A0,27.24060925925926,4.6328197828931135,-1.6542936240593425e-07
A0,27.30871078240741,4.621673213148247,-1.5017678630104734e-07
A0,27.376812305555557,4.610566434923245,-1.349247405627803e-07
A0,27.444913828703708,4.599419738453634,-1.1976013470725228e-07
A0,27.513015351851852,4.588313514950193,-1.0490979675308846e-07
A0,27.581116875,4.577166655244004,-9.040922894625263e-08
A0,27.64921839814815,4.566060932669547,-7.602389773828371e-08
A0,27.717319921296298,4.55491389677701,-6.160006927271206e-08
A0,27.78542144444445,4.543808571272832,-4.728449955047945e-08
A0,27.853522967592593,4.532661331784376,-3.3270100084763723e-08
A0,27.92162449074074,4.521556362225893,-1.953375279528817e-08
A0,27.98972601388889,4.510408899034279,-6.001929294827629e-09
A0,28.05782753703704,4.499304203497417,7.2184844402048385e-09
A0,28.12592906018519,4.488156499542283,2.0011985760930747e-08
A0,28.194030583333333,4.477052009926053,3.251904135639448e-08
A0,28.26213210648148,4.465904040736001,4.4968920871206816e-08
A0,28.33023362962963,4.454799717809693,5.733070915356025e-08
A0,28.39833515277778,4.4436514515710135,6.938483559405163e-08
A0,28.466436675925927,4.432547209585236,8.108078675843116e-08
A0,28.534538199074078,4.4213986389844395,9.255283826935001e-08
A0,28.60263972222222,4.41029440542634,1.038127988250236e-07
A0,28.670741245370372,4.399145493954656,1.1472836855763287e-07
A0,28.73884276851852,4.3880412374646065,1.2533956482173058e-07
A0,28.806944291666667,4.37689197151907,1.3590372747896445e-07
A0,28.87504581481482,4.365787632440019,1.465353242117257e-07
A0,28.943147337962962,4.354638003504305,1.5705339023462467e-07
A0,29.011248861111113,4.343533524378348,1.6729014887230623e-07
A0,29.07935038425926,4.332383492991997,1.7731055344914585e-07
A0,29.147451907407408,4.321278797319834,1.8720679283886922e-07
A0,29.21555343055556,4.310128335877933,1.9692459271729783e-07
A0,29.283654953703703,4.299023391522992,2.0646706244271707e-07
A0,29.351756476851854,4.287872511582462,2.160547200895147e-07
A1,0.0,4.282185712016326,-9.199497295450556e-07
A1,0.06810152314814816,3.7142500852670266,-1.085378509994094e-06
A1,0.13620304629629632,3.23660482807398,-1.2439776597704845e-06
A1,0.20430456944444444,2.9197093387904016,-1.3989177910057464e-06
A1,0.27240609259259263,2.809165484283131,-1.5511276386091208e-06
A1,0.34050761574074073,2.809147073435938,-1.698716668698479e-06
A1,0.4086091388888889,2.8091761230994585,-1.8378312719518461e-06
A1,0.47671066203703705,2.8091606508023603,-1.9645959637679837e-06
A1,0.5448121851851853,2.809192886045025,-2.0772828758578807e-06
A1,0.6129137083333334,2.809180806419834,-2.1772940821895124e-06
A1,0.6810152314814815,2.8092165789685586,-2.268108435643445e-06
A1,0.7491167546296297,2.809208262378699,-2.3529696018273986e-06
A1,0.8172182777777778,2.8092479044011474,-2.432962706494925e-06
A1,0.885319800925926,2.809243647824809,-2.5064290374237024e-06
A1,0.9534213240740741,2.80928737707838,-2.569709802141828e-06
A1,1.0215228472222224,2.80928743602755,-2.618940460712516e-06
